p_name,p_price,p_score,p_region,p_year
Pinot Noir Russian River Valley Olivet Lane Vineyard,30,88,Sonoma,1994
Chardonnay Santa Barbara County Bien Nacido Reserve,25,88,South Coast,1998
Chardonnay Vin de Pays d'Oc Maison Nicolas Reserve,6,83,Other France,1994
Sancerre,16,87,Loire,1995
Beaune Les Epenottes,38,76,Burgundy,1995
Chianti Classico,,81,Tuscany,1993
Riesling Willamette Valley,9,84,Oregon,1998
Merlot Vin de Pays d'Oc,7,83,Other France,1993
Montepulciano d'Abruzzo Riserva,12,84,Other Italy,1992
Chardonnay Mendoza,7,68,Argentina,1998
Pauillac,40,82,Bordeaux,1994
Tokay Pinot Gris Alsace Letzenberg Cuvee Jean-Baptiste,16,87,Alsace,1998
Riesling Beerenauslese Rheingau Hattenheimer Pfaffenberg,,94,Germany,1994
Riesling Qualitätswein Trocken Kamptal Urgesteins Zobinger Heiligenstein,19,83,Niederosterreich,1996
Nuits-St.-Georges,22,88,Burgundy,1993
Richebourg,367,90,Burgundy,1994
Chardonnay Grave del Friuli,10,78,Northeast,1992
Cabernet Sauvignon Napa Valley Reserve Limited Release,25,88,Napa,1994
Riesling QbA Rheingau,13,84,Germany,1995
Cabernet Sauvignon Sonoma Valley,,,Sonoma,1997
Cabernet Sauvignon Paso Robles,16,85,South Coast,1993
Gemstone Vineyard Napa Valley,,,Napa,1999
Chardonnay Walla Walla Valley,34,89,Washington,1998
Montagny,16,84,Burgundy,1996
Syrah Redwood Valley Reserve,30,85,Mendocino Lake,1997
Chardonnay Robertson Lesca,12,84,South Africa,1997
Chardonnay Eastern Bays,15,85,,1998
Vernaccia di San Gimignano,10,83,Tuscany,1995
Semillon-Chardonnay South Eastern Australia Bin 77,7,80,Australia,1992
Cotes du Ventoux,8,85,Rhone,1995
Pouilly-Fume,12,85,Loire,1992
Sauvignon Blanc Maipo Valley,4,73,Chile,1992
Sauvignon Blanc Hawkes Bay,12,83,New Zealand,1999
Sauvignon Blanc Paso Robles,,81,South Coast,1994
Riesling Alsace Grand Cru Eichberg,35,84,Alsace,1997
Chardonnay Central Coast,14,89,Other California,1994
Riesling Kabinett Halbtrocken Rheingau Rudesheimer Kirchenpfad,,88,Germany,1995
Vidal Blanc Niagara Peninsula Ice Wine,32,81,Canada,1992
Corton-Bressandes,55,78,Burgundy,1997
Riesling Auslese ** Mosel-Saar-Ruwer Graacher Himmelreich,33,77,Germany,1994
Zinfandel Paso Robles,10,78,South Coast,1992
Chardonnay Casablanca Valley Medalla Real,14,83,Chile,1997
Cabernet Sauvignon Napa Valley Eisele Vineyard,,,Napa,1999
Irpinia Mastro,,89,Other Italy,1998
Molamatta,16,84,Northeast,1996
Chardonnay Vin de Pays d'Oc,5,79,Other France,1993
Semillon Napa Valley Delice du Semillon,40,93,Napa,1997
Bourgogne-Hautes Cotes de Nuits,,79,Burgundy,1998
Zinfandel Sonoma County San Lorenzo Reserve,18,93,Sonoma,1993
Cabernet Sauvignon Colchagua Valley Grand Reserve,10,85,Chile,1994
Riesling Auslese * Mosel-Saar-Ruwer Zeltinger Sonnenuhr,32,91,Germany,1997
Viognier Sonoma Valley,15,88,Sonoma,1993
Merlot Napa Valley Special Cuvee,22,87,Napa,1994
Nuits-St.-Georges Les Pruliers,45,94,Burgundy,1996
Puligny-Montrachet Les Enseigneres,89,93,Burgundy,1998
Pinot Noir Russian River Valley,30,88,Sonoma,1994
Merlot Russian River Valley,23,88,Sonoma,1995
Sauvignon Blanc Monterey,9,85,Bay Area - Central Coast,1994
Muller-Thurgau Oregon,7,83,Oregon,1993
Chorey-les-Beaune Les Beaumonts,18,79,Burgundy,1993
Chardonnay Russian River Valley,12,77,Sonoma,1994
Pinot Noir Russian River Valley Olivet Lane,28,88,Sonoma,1993
Vosne-Romanee Les Orveaux,36,78,Burgundy,1992
Nebbiolo Langhe Batie,30,73,Piedmont,1994
Barbera d'Alba Torriglione,,89,Piedmont,1997
Shiraz Langhorne Creek,26,90,Australia,1997
Pauillac,51,92,Bordeaux,1996
Cabernet Sauvignon Maipo Valley Reserve,10,87,Chile,1994
Bel Air,50,91,South Coast,1993
Batard-Montrachet,140,94,Burgundy,1993
Dolcetto d'Alba Vignavillej,15,79,Piedmont,1995
Chardonnay Columbia Valley Reserve,16,88,Washington,1998
Cabernet Sauvignon Napa Valley,17,87,Napa,1992
Cabernet Sauvignon Spring Mountain,32,85,Napa,1993
Chianti Classico,15,80,Tuscany,1996
Cabernet Sauvignon Cafayate Bodega La Rosa,7,82,Argentina,1996
Chateauneuf-du-Pape White Clos du Roi,32,75,Rhone,1995
Echezeaux,90,88,Burgundy,1994
Chablis Cuvee Chichee,18,86,Burgundy,1998
Chassagne-Montrachet Morgeot,65,87,Burgundy,1998
Chianti Classico Tenuta La Gabbiola,15,85,Tuscany,1998
Riesling Spätlese Mosel-Saar-Ruwer Ürziger Wurzgarten,14,84,Germany,1997
Brut Rose Champagne,28,80,Champagne,
Pinot Noir Willamette Valley O'Connor Vineyard,20,81,Oregon,1996
Nebbiolo Langhe,18,87,Piedmont,1997
Zinfandel Napa Valley Whitney Tennessee Vineyard,25,90,Napa,1995
St.-Aubin Les Murgers des Dents de Chien,28,87,Burgundy,1995
Huxelrebe Beerenauslese Pfalz Forster Schnepfenflug,,86,Germany,1998
Chablis Montee de Tonnerre,26,85,Burgundy,1993
Volnay Les Caillerets,39,74,Burgundy,1994
Tempranillo California Pagor,10,85,Other California,1997
Fume Blanc Washington,10,83,Washington,1995
Cabernet Sauvignon Columbia Valley Estate Series,16,92,Washington,1996
St.-Veran Tirage Precoce,18,91,Burgundy,1999
Cabernet Sauvignon California,9,80,Other California,1994
Chardonnay Victoria,9,87,Australia,1995
Sangiovese North Coast,18,84,Other California,1997
Toscana Vigna del Paladino,17,84,Tuscany,1995
Monferrato ReNero,23,78,Piedmont,1998
Zinfandel Sonoma County Ziegler Vineyard,15,81,Sonoma,1993
Cabernet Sauvignon Vin de Pays d'Oc Eleve en Futs de Chene,8,82,Other France,1995
Contessa Entellina Tancredi,24,82,Other Italy,1996
